Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-05-05 07:30:37,false,"Sydney Running","5.30","276","00:35:39","140","160","2.9","154","174","6:44","3:23","60","66","1.01","9.3","9.1","268","--","6:22","226","0.0","207","431","5,500","--","No","00:02:57.3","6","--","--","--","--","00:35:15","00:38:37","3","51"
Trail Running,2024-05-04 10:30:03,false,"Canberra Trail Running","8.52","484","00:54:37","156","176","3.7","163","186","6:25","5:04","207","170","0.96","8.6","8.4","274","50.5% L / 49.5% R","6:10","221","0.0","210","338","8,840","--","No","00:03:29.0","9","--","35","15","47","00:54:24","00:54:37","617","683"
Running,2024-05-01 10:42:33,false,"Seattle Running","5.56","294","00:33:39","150","171","3.2","166","180","6:03","4:26","63","62","1.01","8.3","8.5","275","50.9% L / 49.1% R","5:55","225","0.0","219","308","5,504","--","No","00:03:42.8","6","--","32","20","40","00:33:34","00:33:58","5","30"
Trail Running,2024-04-30 10:38:33,false,"Skagit County Trail Running","7.14","434","01:03:38","141","171","3.0","143","199","8:54","5:28","272","278","0.80","10.6","8.5","330","50.2% L / 49.8% R","7:56","198","0.0","175","570","8,710","--","No","00:01:46.1","8","--","31","22","39","01:00:41","01:03:38","6","52"
Trail Running,2024-04-15 13:21:37,false,"Issaquah Trail Running","11.94","752","01:45:14","140","167","3.4","144","208","8:49","5:31","521","515","0.80","9.9","7.8","299","50.5% L / 49.5% R","7:18","184","0.0","167","342","14,804","--","No","00:06:32.5","12","--","32","16","45","01:44:18","01:45:14","159","620"
Trail Running,2024-04-06 08:00:02,false,"Grant County Trail Running","27.67","1,721","03:09:55","161","184","5.0","163","233","6:52","4:51","472","473","0.89","8.5","7.7","290","50.4% L / 49.6% R","6:36","205","0.0","194","341","30,414","--","No","00:05:55.7","28","--","37","21","48","03:07:59","03:09:55","179","333"
Running,2024-04-04 11:58:53,false,"Seattle Running","5.58","303","00:34:39","144","161","3.1","164","172","6:13","5:19","14","12","0.98","8.4","8.4","281","51.0% L / 49.0% R","6:11","216","0.0","211","291","5,602","--","No","00:04:22.9","6","--","28","15","35","00:34:32","00:35:24","49","58"
Trail Running,2024-04-02 11:50:17,false,"King County Trail Running","7.81","445","00:53:20","155","176","3.2","163","173","6:50","5:14","208","203","0.91","9.6","8.9","282","50.2% L / 49.8% R","6:22","224","0.0","215","331","8,550","--","No","00:04:50.5","8","--","32","18","40","00:53:10","00:53:20","361","460"
Running,2024-03-28 15:53:41,false,"Seattle Running","7.40","374","00:43:35","145","155","3.1","169","177","5:53","5:18","22","20","1.01","7.9","8.2","265","50.6% L / 49.4% R","5:51","218","0.0","215","294","7,284","--","No","00:02:30.5","8","--","27","14","38","00:43:32","00:43:36","50","57"
Running,2024-03-27 16:35:01,false,"Seattle Running","4.58","248","00:44:08","108","148","2.4","131","172","9:38","6:00","60","51","0.80","7.3","5.9","351","50.1% L / 49.9% R","9:10","154","0.0","119","229","5,688","--","No","00:06:38.0","5","--","25","16","34","00:43:59","00:45:36","9","55"
Trail Running,2024-03-24 10:13:32,false,"Issaquah Trail Running","25.02","1,786","04:33:18","141","173","4.5","117","255","10:55","4:21","1,504","1,488","0.77","9.9","7.5","355","49.8% L / 50.2% R","8:25","168","0.0","138","343","31,196","--","No","00:00:11.8","26","--","31","15","42","03:58:48","04:38:24","161","838"
Running,2024-03-21 16:25:43,false,"Seattle Running","11.31","618","01:13:28","143","166","3.5","159","190","6:30","5:16","205","190","0.98","9.4","9.3","284","51.2% L / 48.8% R","6:13","236","0.0","222","362","11,464","--","No","00:02:34.4","12","--","32","16","43","01:13:06","01:21:14","7","140"
Running,2024-03-19 17:47:10,false,"Seattle Running","5.15","278","00:33:37","141","163","2.9","158","168","6:32","5:23","64","62","0.97","9.8","9.7","280","50.4% L / 49.6% R","6:24","225","0.0","216","354","5,244","--","No","00:01:52.8","6","--","29","21","39","00:33:33","00:34:27","4","31"
Trail Running,2024-03-16 10:06:40,false,"Deschutes County Trail Running","12.73","799","01:36:45","149","172","3.7","145","213","7:36","5:05","386","383","0.89","9.5","8.5","289","50.5% L / 49.5% R","6:49","199","0.0","187","325","13,872","--","No","00:05:45.4","13","--","35","20","43","01:34:15","01:36:45","804","1,086"
Running,2024-03-08 10:59:37,false,"Boise Running","7.59","424","00:45:21","149","166","3.6","163","190","5:58","5:02","24","22","1.04","8.5","9.0","269","50.8% L / 49.2% R","5:53","226","0.0","220","307","7,284","--","No","00:03:42.0","8","--","34","19","43","00:45:10","00:46:38","834","846"
